timestamp,order_id,status,user,sell_asset,buy_type,buy_quantity
2023-07-19,308419592,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A1333 2023 Superman Celebration Uncommon Truth, Justice and a Better Tomorrow",ERC20,2.22
2023-07-19,308419517,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1420 2023 Superman Celebration Uncommon The Man of Steel,ERC20,2.0
2023-07-19,308419133,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A191 2023 Puzzle Piece The Flash Bottom Right,ERC20,8.0
2023-07-19,308418530,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1206 2023 Super-Speed Common Vixen,ERC20,1.0
2023-07-19,308417508,filled,0x97f20a625a39333be19c93ba163862d4a75935b0,A741 2022 Mythic The Originals Black Adam,ETH,0.0808080808
2023-07-19,308417369,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3564 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.85
2023-07-19,308415151,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2077 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.91
2023-07-19,308414285,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A14175 2022 Shazam! ""Inspired by"" Illustrations Kalypso",ERC20,1.25
2023-07-19,308412167,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A27694 2022 Legends The Flash,ERC20,1.27
2023-07-19,308409142,filled,0xa99e04e21ac28a459cd2b5ba22e8e043104ca03c,A24854 2022 Pencils The Joker,ETH,0.0001616161
2023-07-19,308401084,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A966 2023 Super-Speed Uncommon Black Racer,ERC20,1.1
2023-07-19,308394980,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2181 2023 Puzzle Piece Harley Quinn Bottom Left,ERC20,1.2
2023-07-19,308394898,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1615 2023 Puzzle Piece Harley Quinn Top Right,ERC20,2.99
2023-07-19,308394838,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1114 2023 Puzzle Piece Harley Quinn Top Left,ERC20,1.45
2023-07-19,308394703,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1273 2023 Puzzle Piece The Flash Bottom Left,ERC20,2.0
2023-07-19,308394389,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1139 2023 Puzzle Piece The Flash Bottom Right,ERC20,2.0
2023-07-19,308392553,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A466 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,16.0
2023-07-19,308392504,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2524 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,15.0
2023-07-19,308392462,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1865 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,13.0
2023-07-19,308392332,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2601 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,12.0
2023-07-19,308392293,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3208 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,11.5
2023-07-19,308392265,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1943 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,11.0
2023-07-19,308392244,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2611 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,10.5
2023-07-19,308392213,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3005 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,9.5
2023-07-19,308392168,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2354 2022 Rewards Full Page 2 of Batman #1 (1940) Reward,ERC20,7.0
